hours_studied_per_week,attendance_percentage,previous_grade,sleep_hours_per_night,has_tutor,study_group_participation,assignments_completion_percentage,extracurricular_hours_per_week,final_grade
17.5,87.3,75.8,6.1,1,0,100.0,0.1,86.1
14.3,81.9,58.4,6.4,0,1,100.0,3.1,73.3
18.2,46.3,56.3,7.8,0,0,47.7,0.2,41.1
22.6,83.6,78.1,6.7,0,0,100.0,4.0,81.9
13.8,64.1,66.6,6.0,0,0,83.8,2.3,57.8
13.8,47.1,54.4,7.5,0,1,62.1,0.7,42.2
22.9,80.9,56.0,9.4,0,0,100.0,2.3,72.0
18.8,84.0,69.4,7.7,0,1,100.0,0.6,83.6
12.7,93.3,77.3,9.0,0,1,100.0,1.7,81.1
17.7,54.0,91.9,6.1,0,1,77.1,4.8,78.1
12.7,66.2,80.8,7.0,1,0,88.1,1.9,70.9
12.7,90.2,70.4,7.0,0,1,82.3,0.5,72.8
16.2,90.1,79.6,7.2,1,0,100.0,3.9,90.5
5.4,95.9,78.5,7.7,1,0,69.1,0.6,68.2
6.4,60.5,83.9,5.6,1,0,79.6,4.0,61.2
12.2,85.4,74.5,8.0,0,0,100.0,2.0,72.1
9.9,84.1,87.4,4.6,0,0,91.0,1.8,63.4
16.6,95.0,84.9,5.0,1,0,85.8,5.7,85.5
10.5,60.3,76.0,10.2,0,0,82.2,3.7,53.8
7.9,79.6,73.6,6.2,0,0,81.4,0.1,55.0
22.3,86.1,86.0,8.1,0,1,98.0,1.1,88.0
13.9,86.3,66.4,9.5,0,1,86.1,6.1,71.0
15.3,75.2,56.9,4.0,1,1,66.5,0.1,60.9
7.9,92.4,56.9,8.7,0,0,99.4,2.4,62.2
12.3,60.0,65.4,8.0,0,0,68.6,3.9,54.1
15.6,54.3,82.9,9.5,0,1,92.3,2.9,70.3
9.2,83.7,69.9,5.2,0,0,100.0,4.3,62.9
16.9,79.9,77.5,9.2,0,1,100.0,3.9,84.0
12.0,89.2,69.1,5.9,0,0,82.7,3.5,62.1
13.5,82.4,69.2,8.6,1,1,88.7,5.2,77.6
12.0,72.0,62.7,6.9,0,0,75.2,3.1,55.6
24.3,94.1,73.9,8.2,1,0,100.0,1.5,94.9
14.9,80.9,72.9,7.1,0,1,100.0,1.9,76.3
9.7,76.2,80.0,4.2,0,0,70.6,3.8,56.3
19.1,97.6,78.5,4.0,0,0,100.0,6.3,82.2
8.9,65.1,72.6,7.3,0,0,62.1,1.0,47.7
16.0,79.2,56.9,6.6,1,1,100.0,1.3,66.7
5.2,87.2,87.8,7.6,1,0,49.9,8.0,67.6
8.4,78.5,74.0,6.6,0,0,83.1,2.6,62.6
16.0,70.5,76.0,10.0,0,0,74.4,0.6,58.4
18.7,90.4,94.2,7.3,1,0,90.6,3.3,91.4
15.9,74.1,85.9,6.3,0,1,100.0,14.1,77.7
14.4,90.7,80.4,7.5,0,0,74.9,5.2,76.4
13.5,70.3,75.0,6.4,1,0,92.7,4.1,68.4
7.6,84.2,74.9,7.1,0,0,43.9,0.7,46.1
11.4,71.5,77.9,5.2,1,0,69.3,6.3,67.8
12.7,86.2,79.9,7.0,0,0,95.1,2.2,72.8
20.3,92.4,95.5,6.3,1,0,100.0,6.6,100.0
16.7,81.0,100.0,5.3,0,0,86.6,1.2,86.8
6.2,80.2,78.5,10.0,0,1,58.0,0.2,51.1
16.6,50.4,49.2,5.4,0,0,78.9,1.9,48.4
13.1,60.6,63.6,7.0,0,1,89.7,0.9,64.2
11.6,84.6,96.7,5.8,0,0,85.7,3.8,74.6
18.1,82.7,83.6,7.4,0,0,99.8,9.4,91.2
20.2,94.7,80.1,5.1,0,0,100.0,3.5,85.4
19.7,89.1,73.0,8.3,1,0,100.0,6.5,85.4
10.8,71.4,60.7,10.1,0,1,82.7,1.8,54.4
13.5,74.8,95.1,5.7,0,1,85.6,4.4,74.7
16.7,81.8,65.1,8.8,0,1,100.0,5.6,77.8
19.9,75.0,83.8,6.4,0,1,97.3,3.7,85.7
12.6,94.1,59.4,9.3,0,0,100.0,2.1,73.2
14.1,70.0,72.4,10.3,0,0,100.0,2.9,69.8
9.5,88.1,86.9,6.6,1,1,84.8,3.6,80.4
9.0,89.6,72.0,4.7,0,1,61.6,0.9,54.0
19.1,70.9,70.6,8.4,0,0,100.0,5.0,74.9
21.8,69.5,75.1,7.3,1,0,100.0,9.0,82.0
14.6,80.8,59.0,7.8,1,0,70.6,1.9,64.4
20.0,78.0,56.7,6.5,0,1,100.0,3.6,80.3
16.8,83.8,83.6,5.7,1,0,64.7,4.0,72.6
11.8,67.3,69.9,8.7,0,0,62.1,3.3,49.7
16.8,61.0,83.5,7.5,1,0,80.4,2.4,76.6
22.7,79.5,88.4,4.8,0,1,100.0,6.4,89.8
14.8,85.9,89.4,8.0,0,0,92.1,1.8,86.0
22.8,85.4,55.5,7.7,1,1,100.0,0.2,89.2
2.0,77.1,66.6,6.5,0,0,84.6,5.6,54.7
19.1,53.2,81.5,9.4,0,1,76.8,3.4,70.3
15.4,70.2,81.6,6.1,0,1,98.4,5.7,75.7
13.5,87.8,100.0,6.7,0,0,100.0,0.4,88.3
15.5,92.6,64.1,8.2,0,0,100.0,0.1,76.9
5.1,56.4,89.0,7.1,0,0,43.6,8.2,45.9
13.9,94.0,79.5,4.9,0,0,78.3,0.5,69.5
16.8,91.0,55.3,7.3,0,1,70.2,5.0,69.1
22.4,91.8,68.4,6.4,0,0,100.0,5.2,93.4
12.4,79.0,78.2,8.3,0,0,100.0,3.7,74.9
11.0,81.3,54.5,7.2,0,0,74.8,0.4,56.8
12.5,92.0,50.1,7.1,1,0,97.7,3.3,71.2
19.6,73.7,53.9,5.4,0,1,100.0,6.6,76.7
16.6,94.8,78.1,6.7,0,0,100.0,1.7,86.6
12.4,82.1,69.2,8.5,1,1,77.4,1.6,71.1
17.6,91.7,67.6,5.8,1,1,94.1,1.8,88.8
15.5,91.0,68.0,7.0,0,0,100.0,0.3,74.4
19.8,49.2,57.9,5.6,1,0,95.5,6.7,68.0
11.5,87.3,69.5,5.2,0,1,91.4,6.1,71.5
13.4,76.7,53.2,6.9,1,0,88.3,18.5,60.5
13.0,62.6,89.3,7.3,0,0,78.5,2.6,67.9
7.7,79.4,95.3,10.0,0,0,77.2,4.2,68.0
16.5,93.2,47.1,6.3,0,0,100.0,0.7,67.6
16.3,75.9,69.4,6.9,1,1,100.0,3.3,80.2
15.0,88.3,70.2,5.1,0,0,100.0,3.1,75.3
13.8,83.6,72.9,7.9,0,0,94.6,6.9,76.1
7.9,66.3,87.0,7.6,0,1,76.4,5.3,66.9
12.9,98.8,69.4,9.2,1,1,100.0,8.4,86.0
13.3,85.5,73.9,8.7,1,0,100.0,6.1,80.9
11.0,96.3,100.0,7.5,0,1,80.3,6.1,85.0
14.2,68.3,73.7,6.3,0,0,74.8,0.2,59.7
17.0,66.7,96.2,7.3,0,1,43.4,5.6,65.8
24.4,89.5,81.0,6.8,0,0,99.8,2.8,88.6
15.9,89.4,68.4,8.4,1,0,100.0,1.4,80.9
16.3,80.4,66.4,8.2,0,1,100.0,0.2,79.4
14.6,91.4,74.9,6.6,0,0,73.4,3.4,69.7
5.4,74.1,61.5,4.8,0,1,79.4,1.2,55.0
14.9,61.4,64.6,9.0,0,0,74.9,1.9,55.5
